ID	URL	category	genome_size
GCF_007991095.1.fna	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/007/991/095/GCF_007991095.1_ASM799109v1/GCF_007991095.1_ASM799109v1_genomic.fna.gz	bacteria	10784496
GCF_013116825.1.fna	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/116/825/GCF_013116825.1_ASM1311682v1/GCF_013116825.1_ASM1311682v1_genomic.fna.gz	bacteria	9136279
GCF_019895115.1.fna	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/895/115/GCF_019895115.1_ASM1989511v1/GCF_019895115.1_ASM1989511v1_genomic.fna.gz	bacteria	9346321
GCF_000219105.1.fna	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/219/105/GCF_000219105.1_ASM21910v1/GCF_000219105.1_ASM21910v1_genomic.fna.gz	bacteria	9003593
GCF_017302985.1.fna	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/017/302/985/GCF_017302985.1_ASM1730298v1/GCF_017302985.1_ASM1730298v1_genomic.fna.gz	bacteria	9811739
GCF_900109545.1.fna	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/109/545/GCF_900109545.1_IMG-taxon_2693429895_annotated_assembly/GCF_900109545.1_IMG-taxon_2693429895_annotated_assembly_genomic.fna.gz	bacteria	9365767
GCF_002305875.1.fna	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/305/875/GCF_002305875.1_ASM230587v1/GCF_002305875.1_ASM230587v1_genomic.fna.gz	bacteria	12349744
GCF_001027285.1.fna	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/027/285/GCF_001027285.1_ASM102728v1/GCF_001027285.1_ASM102728v1_genomic.fna.gz	bacteria	12489432
GCF_003387095.1.fna	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/387/095/GCF_003387095.1_ASM338709v1/GCF_003387095.1_ASM338709v1_genomic.fna.gz	bacteria	12433659
GCF_001189295.1.fna	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/189/295/GCF_001189295.1_ASM118929v1/GCF_001189295.1_ASM118929v1_genomic.fna.gz	bacteria	11388132
GCF_002343915.1.fna	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/343/915/GCF_002343915.1_ASM234391v1/GCF_002343915.1_ASM234391v1_genomic.fna.gz	bacteria	12059053
GCF_900112715.1.fna	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/112/715/GCF_900112715.1_IMG-taxon_2597490371_annotated_assembly/GCF_900112715.1_IMG-taxon_2597490371_annotated_assembly_genomic.fna.gz	bacteria	11612870
GCF_001589285.1.fna	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/589/285/GCF_001589285.1_sce8312.1/GCF_001589285.1_sce8312.1_genomic.fna.gz	bacteria	11861566
GCF_002950945.1.fna	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/950/945/GCF_002950945.1_ASM295094v1/GCF_002950945.1_ASM295094v1_genomic.fna.gz	bacteria	14557589
GCF_004135735.1.fna	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/135/735/GCF_004135735.1_ASM413573v1/GCF_004135735.1_ASM413573v1_genomic.fna.gz	bacteria	11261481
GCF_004135755.1.fna	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/135/755/GCF_004135755.1_ASM413575v1/GCF_004135755.1_ASM413575v1_genomic.fna.gz	bacteria	14598830
